,adversary,target,technique,publish date,motive,interesting_insight
230,Russian hackers,Kaseya’s virtual systems/server administrator (VSA) software,exploited a vulnerability,July 2021,ransomware attack,"The hack affected around 1,500 small and midsized businesses, with attackers asking for $70 million in payment."
231,Russian hackers,Ukranian Ministry of Defense's naval forces’ website,published fake reports,July 2021,disrupt the international Sea Breeze-2021 military drills,The attack was targeted at spreading misinformation about the international Sea Breeze-2021 military drills
232,Unknown,Vladimir Putin’s annual phone-in session,DDoS attacks,June 2021,Unknown,Russia claimed the attack
233,A Chinese-speaking hacking group,Afghan government,phishing emails,June 2021,espionage,Hackers posed as the Office of the President of Afghanistan and targeted the Afghan National Security Council
234,The Iranian government,"WhatsApp groups, Telegram channels and messaging apps used by Israeli activists",disinformation campaign,June 2021,advance political unrest and distrust in Israel,
235,Chinese actors,Verizon and the Metropolitan Water District of Southern California,using a platform used by numerous government agencies and companies for secure remote access to their networks,June 2021,,
236,Russia’s Foreign Intelligence Service,Microsoft system,installed malicious software,June 2021,gain access to accounts and contact information,"The majority of the customers targeted were U.S. based, working for IT companies or the government"
237,Russian GRU,government and private sector targets worldwide,brute force access,June 2021,Unknown,The targets were organizations using Microsoft Office 365® cloud services
238,Unknown,Tracking data of NATO ships (HMS Defender and HNLMS Evertsen),Data falsification,June 2021,Unknown,The faked data positioned the two warships at the entrance of a major Russian naval base
239,Russia,"email inboxes of more than 30 prominent Polish officials, ministers and deputies of political parties, and some journalists",cyberattack,June 2021,Unknown,Unknown
240,REvil,Sol Oriens,Unknown,June 2021,Unknown,Sol Oriens is a small government contractor that works for the Department of Energy on nuclear weapons issues
241,Unknown,United Kingdom’s Special Forces soldiers,Leaking spreadsheet on WhatsApp,June 2021,Unknown,"The leak contained classified personal details of the 1,182 soldiers"
242,Unknown,iConstituent,Ransomware attack,June 2021,Unknown,iConstituent is a newsletter service used by U.S. lawmakers to contact constituents
243,Hackers working on behalf of Russian intelligence services,Netherlands police internal network,Unknown,2017,Occurred during the country’s investigation of the Malaysia Airlines Flight 17 (MH17) that was shot down in 2014,The attack was believed to have been carried out by Russian intelligence services
244,Unknown,LineStar Integrity Services,Ransomware attack,May 2021,Unknown,70 gigabytes of its internal files being stolen
245,North Korean cyberattack group,South Korea's state-run Korea Atomic Energy Research Institute (KAERI),exploiting a vulnerability in a vendor’s VPN,May 2021,Unknown,Unknown
246,REvil,JBS,ransomware attack,May 2021,Unknown,"The attack shut down facilities in the United States, Canada and Australia"
247,Unknown,Fujitsu’s systems,Unknown,May 2021,Unknown,Files belonging to multiple Japanese government entities were stolen. Four government agencies have been impacted.
248,a North Korean hacking group,high profile South Korean government officials,phishing methodology,May 2021,cyber espionage campaign,"The group’s targets were based in South Korea and included: the Korea Internet and Security Agency (KISA), ROK Ministry of Foreign Affairs, Ambassador of the Embassy of Sri Lanka to the State (in ROK), International Atomic Energy Agency Nuclear Security Officer, Deputy Consul General at Korean Consulate General in Hong Kong, Seoul National University, and Daishin Securities."
249,a Russia-based cybercrime group,"Ireland’s national health service, the Health Service Executive (HSE)",Conti ransomware-as-a-service (RaaS),May 2021,ransomware attack,"Upon discovering the attack, government authorities shut down the HSE system"
250,Avaddon,Multiple sectors in various countries,Ransomware campaign,May 2021,Unknown,"The targeted industries include: academia, airlines, construction, energy, equipment, financial, freight, government, health, it, law enforcement, manufacturing, marketing, retail, pharmaceutical."
251,DarkSide,Colonial Pipeline,ransomware attack,May 2021,ransom,The energy company shut down the pipeline and later paid a $5 million ransom
252,Unknown,Norwegian energy technology company Volue,Ransomware attack,May 2021,Unknown,"The attack resulted in the shutdown of water and water treatment facilities in 200 municipalities, affecting approximately 85% of the Norwegian population."
253,Unknown,ISP used by Belgium’s government,DDoS attack,May 2021,Unknown,The attack impacted more than 200 organizations causing the cancellation of multiple Parliamentary meetings
254,A Chinese hacking group,a Russian defense contractor,compromised,May 2021,involved in designing nuclear submarines for the Russian navy,
255,Unknown,"Social media accounts of Polish officials, members of the Bundestag and state parliament",Compromising social media accounts,April 2021,Disseminate narratives critical of NATO,The same group targeted both Polish and German officials
256,Hackers linked to the Chinese military,military and government organizations in Southeast Asia,espionage campaign,April 2021,Unknown,The attack began in 2019
257,Unknown,Airline reservation systems,Malware,April 2021,Unknown,The attack caused the networks of 20 low-cost airlines around the world to crash
258,Russian hackers,Ukrainian government officials,spearphishing attempts,April 2021,tensions between the two nations rose during early 2021,
259,Hackers linked to Palestinian intelligence,"approximately 800 Palestinian reporters, activists, and dissidents",cyber espionage campaign,April 2021,Unknown,The attack was not only limited to Palestine but was more broadly across the Middle East
260,Two state-backed hacking groups—one of which works on behalf of the Chinese government,organizations across the U.S. and Europe with a particular focus on U.S. defense contractors,exploited vulnerabilities in a VPN service,April 2021,Unknown,Unknown
261,hostile states,UK professionals,spearphishing and social engineering campaigns,April 2021,Unknown,"Over 10,000 UK professionals have been targeted on LinkedIn over the past five years"
262,Russian military intelligence,Swedish Sports Confederation,Unknown,Late 2017 and early 2018,In response to accusations of Russian government-sponsored doping of Russian athletes,Unknown
263,Chinese-backed actors,New York City's Metropolitan Transportation Authority (MTA),Hacking,April 2021,Unknown,They were unable to gain access to user data or information systems
264,unknown hackers,the European Commission and multiple other EU organizations,major cyberattack,April 2021,Unknown,The European Commission announced the attack
265,Chinese hackers,government agencies in Vietnam,cyber espionage campaign,second half of 2020,gathering political intelligence,
266,China-based hackers,Times of India,breached the networks and transferred data to an off-site server,March 2021,access media sources and gain early knowledge of media investigations and reporting,
267,North Korean hacking group,infosec professionals,fake social media profiles and a fake website for a non-existent security service company,March 2021,Unknown,The same group was responsible for a set of attacks on cybersecurity researchers in January 2021
268,Suspected Iranian hackers,medical researchers in Israel and the U.S.,attempt to steal the credentials,March 2021,"steal the credentials of geneticists, neurologists, and oncologists in the two countries",
269,Suspected Russian hackers,U.S. State Department,breaching the email server,March 2021,stole thousands of emails,
270,Suspected state hackers,Australian media company Nine Entertainment,ransomware variant,March 2021,disrupting live broadcasts and print production systems,
271,Suspected Russian hackers,personal email accounts of German parliamentarians,Unknown,March 2021,in the run-up to Germany’s national elections,Unknown
272,U.S. Cyber Command,Columbia,election interference and influence operations,March 2021,Unknown,U.S. Cyber Command is assisting in response to the attack
273,U.S. Cyber Command,foreign threats ahead of the 2020 U.S. elections,forward hunt operations,March 2021,to confront foreign threats ahead of the 2020 U.S. elections,The organization had conducted more than two dozen operations in nine different countries
274,A group of Chinese hackers,"Uyghur activists, journalists, and dissidents located abroad",Facebook to send malicious links,March 2021,,
275,Chinese hackers,Indian transportation sector,cyber espionage campaign,March 2021,Unknown,The Indian Computer Emergency Response Team found evidence of the attack
276,suspected Russian hackers,websites of Poland’s National Atomic Energy Agency and Health Ministry,took over the websites,March 2021,to spread false alerts of a nonexistent radioactive threat,
277,Russian intelligence services,European Medicines Agency,stealing documents,2020,relating to COVID-19 vaccines and medicines,Both Russian and Chinese intelligence services targeted the European Medicines Agency in 2020 in unrelated campaigns
278,Chinese intelligence services,European Medicines Agency,stealing documents,2020,relating to COVID-19 vaccines and medicines,Both Russian and Chinese intelligence services targeted the European Medicines Agency in 2020 in unrelated campaigns
279,Russian FSB hackers,Ukraine’s State Security Service,Unknown,March 2021,gain access to classified government data,Ukraine’s State Security Service prevented a large-scale attack
280,Russian hackers,"top Lithuanian officials, organizations involved in developing a COVID-19 vaccine",used the country’s IT infrastructure,March 2021,Unknown,The hackers used Lithuania's own IT infrastructure to carry out the attacks
281,Suspected Iranian hackers,"government agencies, academia, and the tourism industry in Azerbaijan, Bahrain, Israel, Saudi Arabia, and the UAE",cyber espionage campaign,March 2021,espionage,
282,Chinese government hackers,Microsoft’s enterprise email software,data theft,March 2021,steal data,"Over 30,000 organizations around the world were affected, including government agencies, legislative bodies, law firms, defense contractors, infectious disease researchers, and policy think tanks"
283,Suspected Chinese hackers,electricity grid operators in India,Unknown,March 2021,to lay the groundwork for possible future attacks,Unknown
284,A Portuguese-speaking cyber criminal group,a division of Oxford University researching COVID-19 vaccines,accessed computer systems,February 2021,selling the data they collected to nation states,
285,North Korean hackers,defense firms in more than a dozen countries,espionage campaign,February 2021,Unknown,The attack started in early 2020
286,Hackers associated with the Chinese military,Tibetans both in China and abroad,surveillance campaign,February 2021,Unknown,Unknown
287,Russian hackers,Ukrainian government file-sharing system,disseminate malicious documents that would install malware on computers that downloaded the planted files,February 2021,Unknown,Unknown
288,Unknown,human rights advocates,spyware,Unknown,cyber espionage,"The attack was used to infiltrate individuals’ systems, spy on their activity, and exfiltrate data"
289,Unknown,the website of the Security Service of Ukraine,distributed denial-of-service attack,February 2021,part of Russia’s hybrid warfare operations in the country,Ukrainian officials reported the attack
290,North Korean hackers,US Department of Justice,conspiring to steal and extort,February 2021,to steal and extort more than $1.3 billion in cash and cryptocurrencies,
291,Iranian hackers,"political opponents in the Netherlands, Germany, Sweden, and India",took control of a server in Amsterdam and used it as a command and control center,February 2021,attacks against political opponents,The server was located in Amsterdam
292,North Korean hackers,pharmaceutical company Pfizer,attempted to break into the computer systems,February 2021,to gain information about vaccines and treatments for the COVID-19,
293,Suspected Iranian hackers,government agencies in the UAE,cyber espionage,February 2021,related to the normalizations of relations with Israel,
294,a Russian hacking group,French IT providers,four-year campaign,February 2021,Unknown,The French national cybersecurity agency announced the attack
295,Suspected Indian hackers,"over 150 individuals in Pakistan, Kazakhstan, and India including those with links to the Pakistan Atomic Energy Commission, the Pakistan Air Force, and election officials in Kashmir",mobile malware,February 2021,,
296,cybercriminal gang,telecom companies,tricked telecom companies into assigning celebrities’ phone numbers to new devices,February 2021,stealing more than $100 million worth of cryptocurrencies,Ten members of the gang were arrested
297,Unknown hackers,"Water supply of Oldsmar, Florida",Exploiting a remote access system,February 2021,Raise levels of sodium hydroxide in the water supply by a factor of 100,
298,Two Iranian hacking groups,"Iranian dissidents in sixteen countries in the Middle East, Europe, South Asia, and North America",espionage campaigns,February 2021,Unknown,Unknown
299,Hezbollah,"telecom companies, internet service providers, and hosting providers in the US, UK, Egypt, Israel, Lebanon, Jordan, Saudi Arabia, the UAE, and the Palestinian Authority",breach,January 2021,intelligence gathering and data theft,
300,North Korean government hackers,cybersecurity researchers,sophisticated social engineering campaign,January 2021,not specified,used multiple fake twitter accounts and a fake blog to drive targets to infected sites or induce them to open infected attachments in emails
301,Suspected Indian hackers active since 2012,"business and governments across South and East Asia, with a particular emphasis on military and government organizations in Pakistan, China, Nepal, and Afghanistan, and businesses involved in defense technology, scientific research, finance, energy, and mining",Unknown,January 2021,Unknown,Unknown
302,Unidentified hackers,New Zealand’s central bank,breached,January 2021,Unknown,The attack was on one of the data centers
303,Hackers linked to the Chinese government,five major gaming and gambling countries,ransomware attacks,January 2021,demanding over $100 million in ransom,
304,North Korean hackers,U.S. pharmaceutical companies Johnson & Johnson and Novavax,Unknown,December 2020,to obtain information on COVID-19,both targets were working on experimental vaccines
305,Unknown,Scottish Environment Protection Agency,Ransomware attack,December 2020,Ransom,"After the agency decided not to pay the ransom, the hackers published the stolen data."
306,Iranian state hackers,"think tanks, research organizations, academics, journalists, and activists in the Persian Gulf, EU, and US",spearphishing campaign,December 2020,Unknown,Used a Christmas theme for the attack
307,Chinese hackers,Finnish parliament,breaching the email accounts,December 2020,,
308,Chinese hackers,African Union headquarters,siphoning off security footage,December 2020,Unknown,The hackers were able to access security footage from cameras installed in the AU headquarters
309,One Saudi hacking group,36 phones belonging to Al Jazeera employees,spyware purchased from the Israeli vendor NSO Group,December 2020,Unknown,Unknown
310,One UAE hacking group,36 phones belonging to Al Jazeera employees,spyware purchased from the Israeli vendor NSO Group,December 2020,Unknown,Unknown
311,two unknown government-sponsored hacking groups,36 phones belonging to Al Jazeera employees,spyware purchased from the Israeli vendor NSO Group,December 2020,Unknown,Unknown
312,Two groups of Russians and one group of individuals affiliated with the French military,Facebook accounts,Fake Facebook accounts,December 2020,To conduct dueling political information operations in Africa,The attack was not just from one group but multiple groups with different affiliations
313,Iranian hackers,More than 40 Israeli companies,compromised a developer of logistics management software,December 2020,exfiltrate data from the firm’s clients,
314,state-sponsored Vietnamese hackers,Facebook users,spreading malware,December 2020,Unknown,The attack was state-sponsored
315,two non-profit groups in Bangladesh,Facebook users,compromising accounts and coordinating the reporting of accounts and pages for removal,December 2020,Unknown,The attack was coordinated by non-profit groups
316,Suspected Chinese hackers,government agencies and the National Data Center of Mongolia,phishing campaign,December 2020,,
317,Unknown,European Medicines Agency,Unknown,December 2020,Access data related to the COVID-19 vaccine being developed by Pfizer,The attack targeted the COVID-19 vaccine data
318,Russian hackers,Over 200 organizations around the world including multiple US government agencies,compromised the software provider SolarWinds and exploited their access to monitor internal operations and exfiltrate data,December 2020,monitor internal operations and exfiltrate data,The hackers compromised the software provider SolarWinds
319,A criminal group,Israeli insurance company Shirbit,ransomware,December 2020,demanding almost $1 million in bitcoin,The hackers published some sensitive personal information after making their demands and threatened to reveal more if they did not receive payment
320,state-sponsored hacking groups,U.S. think tanks focusing on national security and international affairs,Unknown,December 2020,Unknown,CISA and the FBI announced the attack
321,Suspected state-sponsored hackers from an unknown country,organizations in six countries involved in providing special temperature-controlled environments to support the COVID-19 supply chain,spear phishing campaign,December 2020,Unknown,The attack targeted organizations involved in the COVID-19 supply chain
322,Baidu,users of two apps on Google Play Store,software development kit,November 2020,collect sensitive data,The data was sent to Chinese servers
323,Unknown,A Mexican facility owned by Foxconn,Ransomware attack,November 2020,Unknown,"The hackers claim resulted in 1,200 servers being encrypted, 20-30 TB of backups being deleted, and 100 GB of encrypted files being stolen."
324,North Korean hackers,AstraZeneca,posing as recruiters and sending the company’s employees fake job offers that included malware,November 2020,COVID-19 vaccine development,
325,Chinese hackers,"Japanese organizations in multiple industry sectors located in multiple regions around the globe, including North America, Europe, Asia, and the Middle East",Unknown,November 2020,Unknown,Unknown
326,A North Korean hacking group,South Korean internet users,software supply chain attacks,November 2020,compromising legitimate South Korean security software,
327,One Russian and two North Korean hacking groups,seven companies involved in COVID-19 vaccine research,Unknown,November 2020,Unknown,Unknown
328,A group of hackers for hire,"A group of targets in South Asia, and particularly India, Bangladesh, and Singapore",Use of a custom backdoor and credential theft,November 2020,Unknown,Unknown
329,A group of Vietnamese hackers,users of fake websites devoted to news and activism in Southeast Asia,"creating and maintaining fake websites, profiling users, re-directing to phishing pages, and distributing malware",November 2020,Unknown,Unknown
330,U.S. Cyber Command and the NSA,Iran,offensive cyber operations,November 2020,to prevent interference in the upcoming U.S. elections,
331,Hamas,Unknown,cyberattacks and counter-intelligence operations,November 2020,Unknown,Hamas used a secret headquarters in Turkey
332,Unknown,Indian pharmaceutical company,Unknown,October 2020,Compromise intellectual property,"In response, the company isolated all data centers and closed plants in the U.S., UK, Brazil, India, and Russia."
333,Iranian hackers,state election websites,download voter registration information,October 2020,conduct a voter intimidation campaign,The U.S. government announces that Iranian hackers targeted state election websites
334,Chinese state-sponsored hackers,U.S. defense industrial base,Unknown,October 2020,Unknown,"The United States was referred to as an 'empire of hacking', citing 2013 leaks about the NSA’s Prism program"
335,A Russian cyber espionage group,an unidentified European government organization,Unknown,October 2020,Unknown,Unknown
336,Iranian hackers,attendees of the Munich Security Conference,Unknown,October 2020,gather intelligence on foreign policy,compromised individuals
337,Greek hackers,the website of the Turkish Parliament and 150 Azerbaijani government websites,defaced,October 2020,in support of Armenia,
338,North Korean hacking group,"individual experts, think tanks, and government entities in South Korea, Japan, and the United States",cyber espionage campaign,October 2020,"collecting intelligence on national security issues related to the Korean peninsula, sanctions, and nuclear policy","The FBI, CISA and U.S. Cyber Command announced the hacking activity"
339,Russian hacking group,"U.S. state and local government networks, aviation networks",breached and exfiltrated data,October 2020,Unknown,The attack was significant enough to warrant an announcement from the FBI and CISA
340,A North Korean hacker group,aerospace and defense companies in Russia,Unknown,October 2020,Unknown,Unknown
341,An Iranian hacking group,"universities in Australia, Canada, the UK, the U.S., the Netherlands, Singapore, Denmark, and Sweden",phishing campaign,October 2020,,
342,Suspected Iranian hackers,"government agencies and telecommunications operators in Iraq, Kuwait, Turkey, and the UAE",cyber espionage,October 2020,espionage,
343,Chinese government hackers,U.S. defense industrial base,wide-ranging espionage campaign,October 2020,espionage,The NSA warned about the attack
344,Russian military intelligence hackers,2020 Tokyo Olympics,disruptive cyber attack,October 2020,Unknown,The attack was planned but the Olympics were later postponed
345,Russian GRU,"Ukrainian critical infrastructure, French elections",Unknown,October 2020,Unknown,The same group was involved in multiple high-profile hacking incidents
346,Unknown,Iran's Ports and Maritime Organization and one other unspecified government agency,Unknown,October 2020,Unknown,Iran announced the cyberattack
347,Microsoft and U.S. Cyber Command,Russian botnet,operations,October 2020,ahead of the U.S. election,
348,Unknown,U.S. Census Bureau,Unknown,October 2020,"Collect bulk data, alter registration information, compromise census infrastructure, or conduct DoS attacks",The U.S. Department of Homeland Security revealed the attack
349,suspected Chinese hackers,"entities in Russia, India, Ukraine, Kazakhstan, Kyrgyzstan, and Malaysia",Unknown,October 2020,Unknown,U.S. government officials revealed the attack
350,A Chinese group,"diplomatic entities and NGOs in Africa, Asia, and Europe",advanced malware adapted from code leaked by the Italian hacking tool vendor HackingTeam,October 2020,,
351,Iranian hackers,Middle Eastern network technology providers and organizations involved in work with refugees,exploited a serious Windows vulnerability,October 2020,Unknown,Unknown
352,A cyber mercenary group,government officials and private organizations in South Asia and the Middle East,a combination of methods including zero-day exploits,October 2020,,
353,unknown intelligence service,Azerbaijani government institutions,cyber espionage campaign,October 2020,escalating conflict between Armenia and Azerbaijan over the territory of Nagorno-Karabakh,
354,A previously unknown cyber espionage group,government agencies and corporations in Eastern Europe and the Balkans,stealing documents,October 2020,cyber espionage,The group has been active since 2011
355,Unknown,The UN shipping agency the International Maritime Organization (IMO),Sophisticated cyber attack,October 2020,Unknown,The attack disrupted the IMO's website and networks
356,North Korean hackers,a ministry of health and a pharmaceutical company,Unknown,October 2020,Unknown,The targets were involved in COVID-19 research and response
357,Unknown,American healthcare firm Universal Health Systems,Ransomware attack,September 2020,Unknown,"The attack caused affected hospitals to revert to manual backups, divert ambulances, and reschedule surgeries"
358,Unknown,Two subsidiaries of CMA CGM SA in Asia,Ransomware attack,September 2020,Unknown,"The attack caused significant disruptions to IT networks, but did not affect the moving of cargo"
359,Russian hackers,"government agencies in NATO member countries, and nations who cooperate with NATO",phishing scheme that infects target computers with malware that creates a persistent backdoor,September 2020,Unknown,The campaign uses NATO training material as bait
360,Chinese hackers,Spanish research centers,information theft,September 2020,Covid-19 vaccine development,
361,Iranian hackers,"Iranian minorities, anti-regime organizations, and resistance members",a combination of malware including an Android backdoor designed to steal two factor authentication codes from text messages,September 2020,Unknown,Unknown
362,Three hackers operating at the direction of Iran’s Islamic Revolutionary Guard Corps,"workers at aerospace and satellite technology companies, as well as international government organizations",Unknown,September 2020,Unknown,The hackers were indicted by the United States
363,Unknown,German hospital,Ransomware attack,September 2020,Unknown,The attack may have led to the death of a patient who had to be redirected to a more distant hospital for treatment
364,five Chinese hackers with ties to Chinese intelligence services,"more than 100 organizations across government, IT, social media, academia, and more",Unknown,September 2020,Unknown,The U.S. Department of Justice indicted the hackers
365,Iranian hackers,"U.S. organizations in the IT, government, healthcare, finance, and media sectors",exploiting publicly known vulnerabilities,September 2020,Unknown,The FBI and CISA announced the attack
366,hackers associated with the Chinese Ministry of State Security,U.S. government and private networks,scanning for networking devices that could be compromised using exploits for recently discovered vulnerabilities,September 2020,search of networking devices that could be compromised,The attack had been ongoing for over a year
367,Unknown,One government organization in the Middle East and one in North Africa,Wiper malware that leveraged a ransomware-as-a-service offering,September 2020,Unknown,The malware used has recently become popular on cybercrime markets
368,Unknown,COVID-19 research files at a biomedical research facility in Tbilisi,Cyberespionage,September 2020,Unknown,Georgian officials announced the attack
369,Russia,emails of several members and employees of the Norwegian parliament and public employees in the Hedmark region,cyber attacks,September 2020,Unknown,Norway was able to defend against the attacks
370,A North Korean hacking group,28 UN officials,spear-phishing campaign,August 2020,Unknown,At least 11 individuals representing six members of the UN Security Council were targeted
371,Hackers for hire suspected of operating on behalf of the Iranian government,"North American and Israeli entities across a range of sectors, including technology, government, defense, and healthcare",Unknown,August 2020,To gain access to sensitive information,Unknown
372,unknown actors,New Zealand’s stock exchange,distributed denial of service attack,August 2020,Unknown,The attack caused several days of disruptions
373,North Korean government hackers,ATMs around the world,Unknown,August 2020,stealing money,Unknown
374,Suspected Pakistani hackers,"victims in twenty-seven countries, most prominently in India and Afghanistan",custom malware,August 2020,to steal files,
375,Russian hacking group,Ukraine,phishing campaign,August 2020,preparations for operations on Ukraine’s independence day,
376,Chinese hackers,"information systems of at least ten government agencies and 6,000 email accounts",infiltration,August 2020,to gain access to citizens’ personal data and government information,
377,A Chinese cyber espionage group,military and financial organizations across Eastern Europe,,August 2020,,
378,North Korean hacking group,Israeli defense manufacturers,cyberattack,August 2020,Unknown,The Israeli defense ministry successfully defended against the attack
379,An Iranian hacking group,major U.S. companies and government agencies,exploiting recently disclosed vulnerabilities in high-end network equipment to create backdoors,August 2020,to create backdoors for other groups to use,
380,hackers associated with Indian intelligence agencies,mobile phones of Pakistani government officials and military personnel,Unknown,August 2020,Unknown,Unknown
381,suspected Chinese state hackers,Seven semiconductor vendors in Taiwan,espionage campaign,August 2020,"targeting firms’ source code, software development kits, and chip designs",The attack lasted for two years
382,Russian hackers,news sites,replaced legitimate articles with falsified posts that used fabricated quotes from military and political officials,August 2020,"to discredit NATO among Polish, Lithuanian, and Latvian audiences",
383,Unknown,Israeli water infrastructure,Cyber attack,July 2020,Unknown,Neither of the attacks were successful
384,Chinese state-sponsored hackers,the Vatican,broke into the networks,July 2020,conduct espionage in the lead-up to negotiations about control over the appointment of bishops and the status of churches in China,
385,hackers associated with Russian intelligence,COVID-19 vaccine development information,Unknown,July 2020,steal information related to COVID-19 vaccine development,"The attack was announced by Canada, the UK, and the U.S."
386,Russia,UK,stealing and leaking documents,July 2020,interfere in its 2019 general election,documents related to the UK-US Free Trade Agreement were leaked
387,CIA,"Iran, North Korea, Russia, and China",disruption and public leaking of information,July 2020,authorized by a 2018 Presidential finding,Media reports say a 2018 Presidential finding authorized the CIA to conduct cyber operations
388,US Cyber Command,Russian Internet Research Agency,Unknown,July 2020,Unknown,President Trump confirmed that he directly authorized the operation
389,Unknown group from China,Uyghur and Tibetan mobile users,mobile malware campaign,June 2020,Unknown,The campaign had been ongoing since 2013
390,A hacking group affiliated with an unknown government,Kurdish individuals in Turkey and Syria,Unknown,June 2020,Unknown,The hacking occurred at the same time as Turkey launched its offensive into northeastern Syria
391,Unknown,Foreign companies operating in China,Backdoor,June 2020,Network reconnaissance or remote control of company systems,The backdoor was discovered in the most popular tax reporting software required by China for foreign companies to operate in the country
392,Unknown,Nine human rights activists in India,"spyware, malware, keystroke logging, audio recording, credential theft",June 2020,Unknown,The attack was coordinated
393,unknown actors,A Moroccan journalist,phishing messages,June 2020,Unknown,The phishing messages could have been used to download spyware developed by Israeli NSO group
394,North Korean state hackers,"businesses and individuals in Singapore, Japan, the United States, South Korea, India, and the UK",COVID-19-themed phishing emails,June 2020,steal personal and financial data,
395,unnamed state actor,businesses and government agencies in Australia,large-scale cyber attack,June 2020,not specified,The attack was announced by the Australian Prime Minister
396,Unknown,Indian government agencies and banks,DDoS attacks,June 2020,Escalating tensions between China and India over a border dispute in the Galwan Valley,The attacks reportedly originated in China
397,Suspected North Korean hackers,two defense firms in Central Europe,sending false job offers to their employees while posing as representatives from major U.S. defense contractors,June 2020,,
398,unknown group of hackers,"Businesses in Japan, Italy, Germany, and the UK that supply equipment and software to industrial firms",targeted and highly sophisticated campaign,May 2020,Unknown,Unknown
399,GRU,U.S. servers,exploiting a bug that could allow them to take remote control,May 2020,Unknown,The NSA announced the hacking activity
400,Russian hacking group associated with the FSB,"energy, water, and power companies in Germany",compromising the firms’ suppliers,May 2020,,
401,Cyber criminals,Norway’s state investment fund,business email compromise scam,May 2020,steal $10 million,tricked an employee into transferring money into an account controlled by the hackers
402,Iranian hackers,air transportation and government actors in Kuwait and Saudi Arabia,cyber espionage campaign,May 2020,Unknown,Unknown
403,Chinese hackers,UK airline group EasyJet,accessed the travel records,May 2020,,nine million customers were affected
404,Unknown,The president’s office,Hacking and leaking files,Unknown,To show infighting within the administration,The president’s office claimed the leaked documents had been doctored
405,hackers linked to the Chinese government,U.S. research into a coronavirus vaccine,not specified,May 2020,to steal U.S. research into a coronavirus vaccine,not specified
406,Suspected Chinese hackers,Vietnamese government officials,phishing campaign,May 2020,ongoing territorial disputes with China in the South China Sea,
407,Suspected Iranian hackers,IT systems of at least three telecom companies in Pakistan,compromised,May 2020,monitor targets in the country,
408,Unknown,Mitsubishi Electric,Cyber attack,May 2020,Compromise details of new state-of-the-art missile designs,Japan’s Defense Ministry was investigating the attack
409,Israeli hackers,an Iranian port,disruption of operations,May 2020,retaliation against a failed Iranian hack in April targeting the command and control systems of Israeli water distribution systems,The attack caused massive backups and delays
410,PLA hacking group,"government-owned companies, foreign affairs ministries, and science and technology ministries across Australia, Indonesia, the Philippines, Vietnam, Thailand, Myanmar, and Brunei",Unknown,May 2020,Unknown,Unknown
411,Unknown,Two Taiwanese petrochemical companies,Malware attacks,May 2020,Possibly linked to the upcoming inauguration of Taiwanese President Tsai Ing-wen’s second term,Taiwanese officials speculated the attacks
412,Suspected Vietnamese government hackers,users in South and Southeast Asia,malicious apps uploaded to the Google Play app store,April 2020,"to infect users with spyware capable of monitoring the target’s call logs, geolocation data, and text messages",
413,Russian government,Poland’s War Studies University,cyber attacks,April 2020,advance a disinformation campaign undermining U.S.-Polish relations,
414,Suspected Iranian hackers,"command and control systems of water treatment plants, pumping stations, and sewage in Israel",unspecified,April 2020,unspecified,unspecified
415,Chinese hackers,"healthcare providers, pharmaceutical manufacturers, and the U.S. Department of Health and Human services",Unknown,April 2020,Unknown,The attacks occurred amidst the COVID-19 pandemic
416,Suspected Vietnamese hackers,Wuhan government and the Chinese Ministry of Emergency Management,Unknown,April 2020,To collect information related to China’s COVID-19 response,Unknown
417,unknown group,Government and energy sector entities in Azerbaijan,focused on the SCADA systems of wind turbines,April 2020,Unknown,Unknown
418,A Russian hacking group,the governments of Estonia and the Republic of Georgia,forged diplomatic cables and planted articles on social media,April 2020,to undermine the governments of Estonia and the Republic of Georgia,
419,Suspected state-sponsored hackers,Chinese government agencies and Chinese diplomatic missions abroad,exploiting a zero-day vulnerability in virtual private networks servers,April 2020,Unknown,Unknown
420,Iranian government-backed hackers,accounts of WHO staffers,Unknown,April 2020,Unknown,The attack happened in the midst of the Covid-19 pandemic
421,North Korean hackers,individuals involved with North Korean refugees issues,cyber espionage,March 2020,espionage,
422,Suspected South Korean hackers,North Korean targets,five previously unreported software vulnerabilities,March 2020,espionage campaign,
423,Saudi mobile operators,Saudis traveling abroad,exploited a flaw in global telecommunications infrastructure,March 2020,to track the location,
424,Chinese hackers,"75 organizations around the world in the manufacturing, media, healthcare, and nonprofit sectors",cyber espionage,March 2020,espionage,The attack was part of a broad-ranging campaign
425,A suspected nation state hacking group,industrial sector companies in Iran,,March 2020,,
426,suspected state security hackers,Human rights activists and journalists in Uzbekistan,spearphishing,March 2020,install spyware on their devices,
427,CIA,"Chinese industry targets, scientific research organizations, and government agencies",Unknown,March 2020,Unknown,The hacking campaign lasted for 11 years
428,North Korean hackers,cryptocurrency,laundering,February 2020,Unknown,Two Chinese nationals were indicted by the U.S. Department of Justice for aiding the hackers
429,Unknown,Mexico’s economy ministry,Cyber attack,February 2020,Unknown,No sensitive data had been exposed
430,Unknown,U.S. Defense Information Systems Agency,Data breach,February 2020,Unknown,The breach exposed the personal information of an unspecified number of individuals
431,A hacking group of unknown origin,government and diplomatic targets across Southeast Asia,phishing campaign utilizing custom malware,February 2020,Unknown,Unknown
